metodo,horizon_week,n_trimestri,RMSE,sett_al_rilascio,pieno
bvar/qbvar,6,14,3.1793551716232855,11.571428571428571,True
bvar/qbvar,7,14,3.4297160291644455,10.571428571428571,True
bvar/qbvar,8,14,3.3820911320037035,9.571428571428571,True
bvar/qbvar,9,14,3.3920869845113533,8.571428571428571,True
bvar/qbvar,10,14,3.384241081560596,7.571428571428571,True
bvar/qbvar,11,14,3.4150295157211374,6.571428571428571,True
bvar/qbvar,12,14,3.2436090374587305,5.571428571428571,True
bvar/qbvar,13,14,2.829803736936566,4.571428571428571,True
bvar/qbvar,14,14,2.8873863945154965,3.5714285714285716,True
bvar/qbvar,15,14,2.5049104700450795,2.5714285714285716,True
bvar/qbvar,16,14,2.0813475474615495,1.5714285714285714,True
bvar/qbvar,17,14,2.2137335871484605,0.5714285714285714,True
mean,-12,14,4.341213171967462,29.571428571428573,True
mean,-11,14,4.341213171967462,28.571428571428573,True
mean,-10,14,4.341213171967462,27.571428571428573,True
mean,-9,14,4.341213171967462,26.571428571428573,True
mean,-8,14,4.318215472060888,25.571428571428573,True
mean,-7,14,4.318215472060888,24.571428571428573,True
mean,-6,14,4.318215472060888,23.571428571428573,True
mean,-5,14,4.318215472060888,22.571428571428573,True
mean,-4,14,4.318215472060888,21.571428571428573,True
mean,-3,14,4.318215472060888,20.571428571428573,True
mean,-2,14,4.318215472060888,19.571428571428573,True
mean,-1,14,4.318215472060888,18.571428571428573,True
mean,0,14,4.318215472060888,17.571428571428573,True
mean,1,14,4.318215472060888,16.571428571428573,True
mean,2,14,4.318215472060888,15.571428571428571,True
mean,3,14,4.318215472060888,14.571428571428571,True
mean,4,14,4.318215472060888,13.571428571428571,True
mean,5,14,4.2849216597946675,12.571428571428571,True
mean,6,14,4.2849216597946675,11.571428571428571,True
mean,7,14,4.2849216597946675,10.571428571428571,True
mean,8,14,4.2849216597946675,9.571428571428571,True
mean,9,14,4.2849216597946675,8.571428571428571,True
mean,10,14,4.2849216597946675,7.571428571428571,True
mean,11,14,4.2849216597946675,6.571428571428571,True
mean,12,14,4.2849216597946675,5.571428571428571,True
mean,13,14,4.2849216597946675,4.571428571428571,True
mean,14,14,4.2849216597946675,3.5714285714285716,True
mean,15,14,4.2849216597946675,2.5714285714285716,True
mean,16,14,4.2849216597946675,1.5714285714285714,True
mean,17,14,4.2849216597946675,0.5714285714285714,True
nyfed,-5,1,1.060405284937238,22.142857142857142,False
nyfed,-4,14,4.294501357681715,21.571428571428573,True
nyfed,-3,14,4.176110983678268,20.571428571428573,True
nyfed,-2,14,4.051703737864629,19.571428571428573,True
nyfed,-1,14,3.8743648527177283,18.571428571428573,True
nyfed,0,14,3.8362695898442296,17.571428571428573,True
nyfed,1,14,3.5392597654886733,16.571428571428573,True
nyfed,2,14,3.4988562904602194,15.571428571428571,True
nyfed,3,14,3.0216907771446198,14.571428571428571,True
nyfed,4,14,3.0386260953228312,13.571428571428571,True
nyfed,5,14,3.0760015262136697,12.571428571428571,True
nyfed,6,14,2.9828881184476215,11.571428571428571,True
nyfed,7,14,2.7528678299414753,10.571428571428571,True
nyfed,8,14,2.8557176699170816,9.571428571428571,True
nyfed,9,14,2.7037126853416287,8.571428571428571,True
nyfed,10,14,2.6383561936973736,7.571428571428571,True
nyfed,11,14,2.40937062877032,6.571428571428571,True
nyfed,12,14,2.3507211662793566,5.571428571428571,True
nyfed,13,14,2.275210345072646,4.571428571428571,True
nyfed,14,14,2.250476716181463,3.5714285714285716,True
nyfed,15,14,2.2748122234404975,2.5714285714285716,True
nyfed,16,14,2.1254853022543783,1.5714285714285714,True
nyfed,17,14,2.084883687132903,0.5714285714285714,True
