window,trimestre,realizzato,fed,err_fed,mio_migliore,err_migliore,mio_peggiore,err_peggiore
2007-2021,2011Q2,2.7339190839842376,3.17,0.4360809160157624,fed_overlap/student_t_ar1_shared,-0.09715696446230826,fed_overlap/student_t,-0.7449520619287939
2007-2021,2011Q3,-0.0892210766206935,2.09,2.1792210766206934,fed_overlap/student_t_ar1_shared,3.0561523436022475,fed_overlap/gaussian,3.7493456922770614
2007-2021,2011Q4,4.568438742179692,3.22,-1.3484387421796922,fed_overlap/student_t_ar1,-0.8034689467229184,fed_overlap/student_t_ar1_shared,-1.0851429941153512
2007-2021,2012Q1,3.396793738645587,3.28,-0.11679373864558729,fed_overlap/gaussian,0.033424657251379664,fed_overlap/student_t_ar1_shared,-0.7705832385099587
2007-2021,2012Q2,1.7973274732638431,2.88,1.0826725267361568,fed_overlap/gaussian,1.1012699529438843,fed_overlap/gaussian_ar1,1.4212637218716575
2007-2021,2012Q3,0.5773578286532466,1.64,1.0626421713467533,fed_overlap/student_t_ar1_shared,1.0924355697756738,fed_overlap/student_t,1.7390960513646858
2007-2021,2012Q4,0.4633651980530562,2.66,2.196634801946944,fed_overlap/student_t_ar1_shared,2.0518087332848323,fed_overlap/student_t,2.2691693028204396
2007-2021,2013Q1,4.005025807945661,3.83,-0.17502580794566125,fed_overlap/student_t_ar1_shared,-0.9305870706286079,fed_overlap/student_t_ar1,-1.016960092898267
2007-2021,2013Q2,1.0748507650766292,1.95,0.8751492349233707,fed_overlap/gaussian_ar1,1.324564879717216,fed_overlap/student_t,1.6846175746856988
2007-2021,2013Q3,3.4493139225505898,2.15,-1.2993139225505899,fed_overlap/student_t_ar1_shared,-0.43633996679475207,fed_overlap/gaussian,-0.8912512442487808
2007-2021,2013Q4,3.532828598657445,3.42,-0.11282859865744488,fed_overlap/student_t,-0.5521277821102899,fed_overlap/student_t_ar1,-0.9003815507295565
2007-2021,2014Q1,-1.3732548917761769,2.23,3.603254891776177,fed_overlap/gaussian,4.271233702291299,fed_overlap/gaussian_ar1,4.555082263518329
2007-2021,2014Q2,5.268365026582655,3.07,-2.1983650265826555,fed_overlap/student_t_ar1_shared,-0.796734727006343,fed_overlap/student_t,-1.43519838533952
2007-2021,2014Q3,4.950916534930627,2.2,-2.750916534930627,fed_overlap/student_t,-2.265233358086371,fed_overlap/student_t_ar1,-2.7649399192600344
2007-2021,2014Q4,2.0383303103057804,2.56,0.5216696896942197,fed_overlap/gaussian,0.6807712879581151,fed_overlap/gaussian_ar1,1.0943619327413274
2007-2021,2015Q1,3.650885031119766,0.64,-3.010885031119766,fed_overlap/student_t,-2.791988660706779,fed_overlap/gaussian,-3.1836866070585224
2007-2021,2015Q2,2.500735310964308,2.2,-0.3007353109643076,fed_overlap/gaussian_ar1,-1.7826843580344582,fed_overlap/student_t_ar1,-2.644527405629626
2007-2021,2015Q3,1.61061768429811,2.02,0.4093823157018901,fed_overlap/gaussian,0.6460117052409229,fed_overlap/student_t_ar1_shared,1.6512608137413622
2007-2021,2015Q4,0.7399609712167354,1.42,0.6800390287832645,fed_overlap/student_t,-0.06321699599216579,fed_overlap/student_t_ar1_shared,0.5436742303615238
2007-2021,2016Q1,2.3383061524439253,0.7,-1.6383061524439253,fed_overlap/student_t_ar1_shared,-0.35077736920015035,fed_overlap/student_t_ar1,-1.0727887924232293
2007-2021,2016Q2,1.290696770237454,2.17,0.8793032297625458,fed_overlap/gaussian,0.306014593196013,fed_overlap/student_t_ar1_shared,1.144798844386674
2007-2021,2016Q3,2.8678981414693494,2.22,-0.6478981414693492,fed_overlap/gaussian_ar1,0.1015621752465723,fed_overlap/gaussian,-0.5166168815073253
2007-2021,2016Q4,2.235699518586598,2.02,-0.21569951858659797,fed_overlap/gaussian_ar1,0.08188261939188202,fed_overlap/gaussian,-0.41630721276095795
2007-2021,2017Q1,1.9618307902452337,2.65,0.6881692097547663,fed_overlap/gaussian,-0.08798559043050558,fed_overlap/student_t_ar1_shared,0.8921004803904564
2007-2021,2017Q2,2.258367983115228,2.04,-0.2183679831152281,fed_overlap/student_t,1.5480348017780758,fed_overlap/student_t_ar1_shared,2.606092357649481
2007-2021,2017Q3,3.1915992394406345,1.6,-1.5915992394406344,fed_overlap/gaussian_ar1,-0.8929168220955135,fed_overlap/gaussian,-1.7194707625329597
2007-2021,2017Q4,4.584974811729059,3.88,-0.7049748117290591,fed_overlap/student_t_ar1_shared,-0.16866346693880097,fed_overlap/student_t,-0.9861714227180629
2007-2021,2018Q1,3.293553047698339,2.97,-0.3235530476983386,fed_overlap/student_t_ar1,0.10497896685031094,fed_overlap/student_t,-0.9245965075297624
2007-2021,2018Q2,2.140266992640893,2.78,0.6397330073591068,fed_overlap/student_t,0.930656698869226,fed_overlap/gaussian_ar1,1.9675940996482626
2007-2021,2018Q3,2.5182268082057035,2.18,-0.3382268082057034,fed_overlap/student_t,0.18289221283851465,fed_overlap/gaussian_ar1,1.0189451289524865
2007-2021,2018Q4,0.5677817986818878,2.57,2.002218201318112,fed_overlap/student_t,1.4911282771670642,fed_overlap/gaussian_ar1,1.8568432219680409
2007-2021,2019Q1,2.520756202743435,1.43,-1.090756202743435,fed_overlap/gaussian_ar1,-1.4814996039990147,fed_overlap/student_t_ar1_shared,-1.921806061036735
2007-2021,2019Q2,3.382664959003589,1.5,-1.882664959003589,fed_overlap/gaussian_ar1,-1.9612128109993683,fed_overlap/gaussian,-2.202983496955224
2007-2021,2019Q3,4.762784209178728,1.91,-2.8527842091787274,fed_overlap/student_t_ar1_shared,-2.130347668929433,fed_overlap/gaussian,-2.680485281184275
2007-2021,2019Q4,2.755535957854649,1.22,-1.535535957854649,fed_overlap/gaussian_ar1,-1.0194031847526208,fed_overlap/gaussian,-1.305372866092136
2007-2021,2020Q1,-5.16223383893778,-0.4,4.76223383893778,fed_overlap/gaussian,5.228849553967796,fed_overlap/student_t_ar1_shared,5.928753596273062
2007-2021,2020Q2,-27.97614656719044,-14.27,13.70614656719044,fed_overlap/gaussian,13.632146257124033,fed_overlap/gaussian_ar1,17.18768063295211
2007-2021,2020Q3,34.85500597467652,13.75,-21.105005974676523,fed_overlap/student_t_ar1,-11.079226459699143,fed_overlap/student_t_ar1_shared,-18.7151404142613
2007-2021,2020Q4,4.611736044615711,2.58,-2.0317360446157107,fed_overlap/student_t,0.2420193965093187,fed_overlap/gaussian_ar1,3.832513930044602
2007-2021,2021Q1,5.701255644273506,6.86,1.158744355726494,fed_overlap/student_t_ar1_shared,-0.6099534367530524,fed_overlap/gaussian,-4.500115322500475
2007-2021,2021Q2,6.983331307653917,3.16,-3.823331307653917,fed_overlap/gaussian_ar1,0.46672639890215084,fed_overlap/student_t,-3.376526269122837
2007-2025,2006Q4,3.4823729200428755,1.78,-1.7023729200428754,fed_overlap/gaussian,-0.9476150765763691,fed_overlap/student_t_ar1_shared,-1.6962187904414838
2007-2025,2007Q1,1.2087836914185912,2.4,1.1912163085814087,fed_overlap/student_t,2.337313231718352,fed_overlap/student_t_ar1,2.613711724947132
2007-2025,2007Q2,2.4695947150627617,3.25,0.7804052849372383,fed_overlap/gaussian_ar1,0.9096360348266774,fed_overlap/gaussian,1.3373656553010704
2007-2025,2007Q3,2.3240880884577653,1.99,-0.3340880884577653,fed_overlap/student_t,0.05407284264615786,fed_overlap/gaussian_ar1,-0.16738305818715382
2007-2025,2007Q4,2.5367271478347497,1.49,-1.0467271478347497,fed_overlap/gaussian,0.06265166992425186,fed_overlap/student_t_ar1,0.2603640632961257
2007-2025,2008Q1,-1.6961606735480972,1.43,3.126160673548097,fed_overlap/student_t,3.153484968809761,fed_overlap/student_t_ar1,3.6924501128601905
2007-2025,2008Q2,2.403069701864058,1.99,-0.4130697018640579,fed_overlap/student_t_ar1_shared,-2.603358070249917,fed_overlap/gaussian,-2.997486062215693
2007-2025,2008Q3,-2.0845363314131338,-0.52,1.5645363314131338,fed_overlap/student_t,0.08051426260671235,fed_overlap/student_t_ar1_shared,1.0977268523836847
2007-2025,2008Q4,-8.472768957225274,-3.47,5.002768957225273,fed_overlap/student_t_ar1,5.1516952702461145,fed_overlap/student_t,5.646398240443306
2007-2025,2009Q1,-4.462803810727223,-3.57,0.8928038107272234,fed_overlap/student_t,-0.6206225244254071,fed_overlap/gaussian_ar1,-2.5973364069207907
2007-2025,2009Q2,-0.7126911125331037,0.04,0.7526911125331037,fed_overlap/student_t,-0.5854647907128974,fed_overlap/gaussian_ar1,-2.0317567450048646
2007-2025,2009Q3,1.412187087697636,5.2,3.787812912302364,fed_overlap/student_t,3.000471651332459,fed_overlap/student_t_ar1,4.189826835976018
2007-2025,2009Q4,4.394263592305325,4.32,-0.07426359230532498,fed_overlap/student_t,-0.03926998065175713,fed_overlap/student_t_ar1_shared,0.4816198787146453
2007-2025,2010Q1,1.952133820572155,3.98,2.027866179427845,fed_overlap/student_t_ar1_shared,2.6724993618227,fed_overlap/gaussian,3.0355429227033603
2007-2025,2010Q2,3.926881074055233,4.96,1.033118925944767,fed_overlap/student_t,0.3901256108867157,fed_overlap/student_t_ar1_shared,1.2211680053161755
