window,trimestre,n_metodi,completo,allineato,spread_gg,tenuto,motivo
2007-2025,2008Q3,8,True,True,0,True,
2007-2025,2008Q4,8,True,True,0,True,
2007-2025,2009Q1,8,True,True,0,True,
2007-2025,2009Q2,8,True,True,0,True,
2007-2025,2009Q3,8,True,True,0,True,
2007-2025,2009Q4,8,True,True,0,True,
2007-2025,2010Q1,8,True,True,0,True,
2007-2025,2010Q2,8,True,True,0,True,
2007-2025,2010Q3,8,True,True,0,True,
2007-2025,2010Q4,8,True,True,0,True,
2007-2025,2011Q1,8,True,True,0,True,
2007-2025,2011Q2,8,True,True,0,True,
2007-2025,2011Q3,8,True,True,0,True,
2007-2025,2011Q4,8,True,True,0,True,
2007-2025,2012Q1,8,True,True,0,True,
2007-2025,2012Q2,8,True,True,0,True,
2007-2025,2012Q3,8,True,True,0,True,
2007-2025,2012Q4,8,True,True,0,True,
2007-2025,2013Q1,8,True,True,0,True,
2007-2025,2013Q2,8,True,True,0,True,
2007-2025,2013Q3,8,True,True,0,True,
2007-2025,2013Q4,8,True,True,0,True,
2007-2025,2014Q1,8,True,True,0,True,
2007-2025,2014Q2,8,True,True,0,True,
2007-2025,2014Q3,8,True,True,0,True,
2007-2025,2014Q4,8,True,True,0,True,
2007-2025,2015Q1,8,True,True,0,True,
2007-2025,2015Q2,8,True,True,0,True,
2007-2025,2015Q3,8,True,True,0,True,
2007-2025,2015Q4,8,True,True,0,True,
2007-2025,2016Q1,8,True,True,0,True,
2007-2025,2016Q2,8,True,True,0,True,
2007-2025,2016Q3,8,True,True,0,True,
2007-2025,2016Q4,8,True,True,0,True,
2007-2025,2017Q1,8,True,True,0,True,
2007-2025,2017Q2,8,True,True,0,True,
2007-2025,2017Q3,8,True,True,0,True,
2007-2025,2017Q4,8,True,True,0,True,
2007-2025,2018Q1,8,True,True,0,True,
2007-2025,2018Q2,8,True,True,0,True,
2007-2025,2018Q3,8,True,True,0,True,
2007-2025,2018Q4,8,True,True,0,True,
2007-2025,2019Q1,8,True,True,0,True,
2007-2025,2019Q2,8,True,True,0,True,
2007-2025,2019Q3,8,True,True,0,True,
2007-2025,2019Q4,8,True,True,0,True,
2007-2025,2020Q1,8,True,True,0,True,
2007-2025,2020Q2,8,True,True,0,True,
2007-2025,2020Q3,8,True,True,0,True,
2007-2025,2020Q4,8,True,True,0,True,
2007-2025,2021Q1,8,True,True,0,True,
2007-2025,2021Q2,8,True,True,0,True,
2007-2025,2021Q3,8,True,False,56,False,stime finali fuori dalla settimana di rilascio
2007-2025,2021Q4,7,False,False,0,False,metodi mancanti
2007-2025,2022Q1,7,False,False,0,False,metodi mancanti
2007-2025,2022Q2,7,False,False,0,False,metodi mancanti
2007-2025,2022Q3,7,False,False,0,False,metodi mancanti
2007-2025,2022Q4,7,False,False,0,False,metodi mancanti
2007-2025,2023Q1,8,True,True,0,True,
2007-2025,2023Q2,8,True,True,0,True,
2007-2025,2023Q3,8,True,True,0,True,
2007-2025,2023Q4,8,True,True,0,True,
2007-2025,2024Q1,8,True,True,0,True,
2007-2025,2024Q2,8,True,True,0,True,
2007-2025,2024Q3,8,True,True,0,True,
2007-2025,2024Q4,8,True,True,0,True,
2007-2025,2025Q1,8,True,True,0,True,
2007-2025,2025Q2,8,True,True,0,True,
2007-2025,2025Q3,8,True,True,0,True,
2007-2025,2025Q4,8,True,False,28,False,stime finali fuori dalla settimana di rilascio
2007-2025,2026Q1,8,True,False,119,False,stime finali fuori dalla settimana di rilascio
2007-2010,2006Q4,8,True,True,0,True,
2007-2010,2007Q1,8,True,True,0,True,
2007-2010,2007Q2,8,True,True,0,True,
2007-2010,2007Q3,8,True,True,0,True,
2007-2010,2007Q4,8,True,True,0,True,
2007-2010,2008Q1,8,True,True,0,True,
2007-2010,2008Q2,8,True,True,0,True,
2007-2010,2008Q3,8,True,True,0,True,
2007-2010,2008Q4,8,True,True,0,True,
2007-2010,2009Q1,8,True,True,0,True,
2007-2010,2009Q2,8,True,True,0,True,
2007-2010,2009Q3,8,True,True,0,True,
2007-2010,2009Q4,8,True,True,0,True,
2007-2010,2010Q1,8,True,True,0,True,
2007-2010,2010Q2,8,True,True,0,True,
2007-2010,2010Q3,8,True,True,0,True,
2007-2010,2010Q4,8,True,False,21,False,stime finali fuori dalla settimana di rilascio
2007-2010,2011Q1,8,True,False,112,False,stime finali fuori dalla settimana di rilascio
2019-2021,2018Q4,8,True,True,0,True,
2019-2021,2019Q1,8,True,True,0,True,
2019-2021,2019Q2,8,True,True,0,True,
2019-2021,2019Q3,8,True,True,0,True,
2019-2021,2019Q4,8,True,True,0,True,
2019-2021,2020Q1,8,True,True,0,True,
2019-2021,2020Q2,8,True,True,0,True,
2019-2021,2020Q3,8,True,True,0,True,
2019-2021,2020Q4,8,True,True,0,True,
2019-2021,2021Q1,8,True,True,0,True,
2019-2021,2021Q2,8,True,True,0,True,
2019-2021,2021Q3,8,True,False,56,False,stime finali fuori dalla settimana di rilascio
2019-2021,2021Q4,7,False,False,0,False,metodi mancanti
2019-2021,2022Q1,7,False,False,0,False,metodi mancanti
2024-2025,2023Q4,8,True,True,0,True,
2024-2025,2024Q1,8,True,True,0,True,
2024-2025,2024Q2,8,True,True,0,True,
2024-2025,2024Q3,8,True,True,0,True,
2024-2025,2024Q4,8,True,True,0,True,
2024-2025,2025Q1,8,True,True,0,True,
2024-2025,2025Q2,8,True,True,0,True,
2024-2025,2025Q3,8,True,True,0,True,
2024-2025,2025Q4,8,True,False,28,False,stime finali fuori dalla settimana di rilascio
2024-2025,2026Q1,8,True,False,119,False,stime finali fuori dalla settimana di rilascio
