as_of,target_quarter,horizon_week,spec,variant,nowcast_bea,nowcast_livello,nowcast_z,sd_z,realizzato_bea,realizzato_livello,errore_bea,gdp_release_date,n_releases,n_iter,converged,reestimated
2007-01-26,2006Q4,17,benchmark,ar2,2.127497985150306,2.105182696784394,-0.5065303096840788,,3.4823729200428755,3.423110226166918,-1.3548749348925693,2007-01-28,4.0,0,True,False
2007-01-26,2006Q4,17,benchmark,mean,3.1751536975980432,3.1257879328126927,0.0,,3.4823729200428755,3.423110226166918,-0.3072192224448322,2007-01-28,4.0,0,True,False
2007-01-26,2006Q4,17,diag3,gaussian,,,,,3.4823729200428755,3.423110226166918,,2007-01-28,4.0,-1,False,False
2007-01-26,2007Q1,4,benchmark,ar2,2.2620769589870804,2.236871402847182,-0.4411726976425604,,1.2087836914185912,1.2015362468522506,1.0532932675684892,2007-04-28,4.0,0,True,False
2007-01-26,2007Q1,4,benchmark,mean,3.1751536975980432,3.1257879328126927,0.0,,1.2087836914185912,1.2015362468522506,1.966370006179452,2007-04-28,4.0,0,True,False
2007-01-26,2007Q1,4,diag3,gaussian,,,,,1.2087836914185912,1.2015362468522506,,2007-04-28,4.0,-1,False,False
2007-01-26,2007Q2,-9,benchmark,ar2,2.7144204420398887,2.6782334351718142,-0.2221230210151994,,2.4695947150627617,2.439593165871891,0.244825726977127,2007-07-28,4.0,0,True,False
2007-01-26,2007Q2,-9,benchmark,mean,3.1751536975980432,3.1257879328126927,0.0,,2.4695947150627617,2.439593165871891,0.7055589825352815,2007-07-28,4.0,0,True,False
2007-01-26,2007Q2,-9,diag3,gaussian,,,,,2.4695947150627617,2.439593165871891,,2007-07-28,4.0,-1,False,False
2007-02-02,2007Q1,5,benchmark,ar2,2.516511589836967,2.4853688298319287,-0.3213313973928207,,1.2087836914185912,1.2015362468522506,1.307727898418376,2007-04-28,10.0,0,True,False
2007-02-02,2007Q1,5,benchmark,mean,3.1786396966371644,3.129166595237173,0.0,,1.2087836914185912,1.2015362468522506,1.9698560052185727,2007-04-28,10.0,0,True,False
2007-02-02,2007Q1,5,diag3,gaussian,,,,,1.2087836914185912,1.2015362468522506,,2007-04-28,10.0,-1,False,False
2007-02-02,2007Q2,-8,benchmark,ar2,3.1534280385685065,3.1047286506453657,-0.0121974310988029,,2.4695947150627617,2.439593165871891,0.6838333235057448,2007-07-28,10.0,0,True,False
2007-02-02,2007Q2,-8,benchmark,mean,3.1786396966371644,3.129166595237173,0.0,,2.4695947150627617,2.439593165871891,0.7090449815744027,2007-07-28,10.0,0,True,False
2007-02-02,2007Q2,-8,diag3,gaussian,,,,,2.4695947150627617,2.439593165871891,,2007-07-28,10.0,-1,False,False
2007-02-09,2007Q1,6,benchmark,ar2,2.516511589836967,2.4853688298319287,-0.3213313973928207,,1.2087836914185912,1.2015362468522506,1.307727898418376,2007-04-28,8.0,0,True,False
2007-02-09,2007Q1,6,benchmark,mean,3.1786396966371644,3.129166595237173,0.0,,1.2087836914185912,1.2015362468522506,1.9698560052185727,2007-04-28,8.0,0,True,False
2007-02-09,2007Q1,6,diag3,gaussian,,,,,1.2087836914185912,1.2015362468522506,,2007-04-28,8.0,-1,False,False
2007-02-09,2007Q2,-7,benchmark,ar2,3.1534280385685065,3.1047286506453657,-0.0121974310988029,,2.4695947150627617,2.439593165871891,0.6838333235057448,2007-07-28,8.0,0,True,False
2007-02-09,2007Q2,-7,benchmark,mean,3.1786396966371644,3.129166595237173,0.0,,2.4695947150627617,2.439593165871891,0.7090449815744027,2007-07-28,8.0,0,True,False
