as_of,target_quarter,horizon_week,spec,variant,nowcast_bea,nowcast_livello,nowcast_z,sd_z,realizzato_bea,realizzato_livello,errore_bea,gdp_release_date,n_releases,n_iter,converged,reestimated
2007-01-05,2006Q4,14,diag4,student_t,2.2836691831522593,2.2579837697896825,-0.4306945486109478,0.740122757930282,3.4823729200428755,3.423110226166918,-1.1987037368906162,2007-01-28,,37,True,True
2007-01-05,2007Q1,1,diag4,student_t,3.0730606839913133,3.0267877817070734,-0.0491341563104714,0.8245175860623192,1.2087836914185912,1.2015362468522506,1.864276992572722,2007-04-28,,0,True,False
2007-01-05,2007Q2,-12,diag4,student_t,3.1316407815685565,3.083605205108964,-0.02093545023366553,0.8571540290529511,2.4695947150627617,2.439593165871891,0.6620460665057948,2007-07-28,,0,True,False
2007-01-12,2006Q4,15,diag4,student_t,2.2825428209008125,2.256882549563288,-0.43124108845085374,0.740094081653536,3.4823729200428755,3.423110226166918,-1.199830099142063,2007-01-28,4.0,0,True,False
2007-01-12,2007Q1,2,diag4,student_t,3.068218144951862,3.0220895096600042,-0.05146592682366509,0.8243636738095151,1.2087836914185912,1.2015362468522506,1.8594344535332707,2007-04-28,4.0,0,True,False
2007-01-12,2007Q2,-11,diag4,student_t,3.130179326561744,3.082188117830217,-0.02163875610827219,0.8570900371975528,2.4695947150627617,2.439593165871891,0.6605846114989822,2007-07-28,4.0,0,True,False
2007-01-19,2006Q4,16,diag4,student_t,2.5967645725990973,2.563621187123307,-0.27900552117120414,0.7360697182650727,3.4823729200428755,3.423110226166918,-0.8856083474437781,2007-01-28,10.0,0,True,False
2007-01-19,2007Q1,3,diag4,student_t,3.555323221692319,3.4935807791414777,0.18253700625277086,0.8094167628563465,1.2087836914185912,1.2015362468522506,2.346539530273728,2007-04-28,10.0,0,True,False
2007-01-19,2007Q2,-10,diag4,student_t,3.0920591233375205,3.045218095639661,-0.039987120518084514,0.8557138048805575,2.4695947150627617,2.439593165871891,0.6224644082747588,2007-07-28,10.0,0,True,False
2007-01-26,2006Q4,17,diag4,student_t,2.6006366154325056,2.567395155810478,-0.27713248597564694,0.7360526321486569,3.4823729200428755,3.423110226166918,-0.8817363046103699,2007-01-28,4.0,0,True,False
2007-01-26,2007Q1,4,diag4,student_t,3.5535021098613173,3.4918221753464715,0.18166420441573286,0.808098402485569,1.2087836914185912,1.2015362468522506,2.344718418442726,2007-04-28,4.0,0,True,False
2007-01-26,2007Q2,-9,diag4,student_t,3.085307640448254,3.038668896765251,-0.04323751314486259,0.8550519913476942,2.4695947150627617,2.439593165871891,0.615712925385492,2007-07-28,4.0,0,True,False
2007-02-02,2007Q1,5,diag4,student_t,3.367259242112164,3.3118084185580665,0.09115991925373244,0.8042309469394673,1.2087836914185912,1.2015362468522506,2.1584755506935727,2007-04-28,10.0,7,True,True
