as_of,target_quarter,horizon_week,spec,variant,nowcast_bea,nowcast_livello,nowcast_z,sd_z,realizzato_bea,realizzato_livello,errore_bea,gdp_release_date,n_releases,n_iter,converged,reestimated
2007-01-05,2006Q4,14,diag3,student_t,3.259626828881834,3.2076279558778134,0.04061751866867583,0.8382940187832925,3.4823729200428755,3.423110226166918,-0.22274609116104127,2007-01-28,,17,True,True
2007-01-05,2007Q1,1,diag3,student_t,3.175752397607612,3.1263682065036584,0.0002879920678539366,0.8436612659612642,1.2087836914185912,1.2015362468522506,1.9669687061890206,2007-04-28,,0,True,False
2007-01-05,2007Q2,-12,diag3,student_t,3.1895968115008166,3.139785588798732,0.006947090580341768,0.8610990821983429,2.4695947150627617,2.439593165871891,0.7200020964380549,2007-07-28,,0,True,False
2007-01-12,2006Q4,15,diag3,student_t,3.265784588088083,3.2135911534967576,0.043577076615277786,0.8382816043893906,3.4823729200428755,3.423110226166918,-0.21658833195479232,2007-01-28,4.0,0,True,False
2007-01-12,2007Q1,2,diag3,student_t,3.179270451112859,3.1297779160973707,0.001980244072318382,0.8435475782346846,1.2087836914185912,1.2015362468522506,1.9704867596942677,2007-04-28,4.0,0,True,False
2007-01-12,2007Q2,-11,diag3,student_t,3.1904919849545132,3.14065308862289,0.007377634084401806,0.8610019724145228,2.4695947150627617,2.439593165871891,0.7208972698917515,2007-07-28,4.0,0,True,False
2007-01-19,2006Q4,16,diag3,student_t,3.2726198734199574,3.2202100536012623,0.046862062231018686,0.8382851020296814,3.4823729200428755,3.423110226166918,-0.20975304662291805,2007-01-28,10.0,0,True,False
2007-01-19,2007Q1,3,diag3,student_t,3.120899956216361,3.07318998760573,-0.02610456279658976,0.8430591565292426,1.2087836914185912,1.2015362468522506,1.9121162647977696,2007-04-28,10.0,0,True,False
2007-01-19,2007Q2,-10,diag3,student_t,3.0899116212608213,3.0431349822917517,-0.04102097769613461,0.8600280313530667,2.4695947150627617,2.439593165871891,0.6203169061980596,2007-07-28,10.0,0,True,False
2007-01-26,2006Q4,17,diag3,student_t,3.2750051572354,3.222519723165555,0.04800836013188185,0.8382756106596235,3.4823729200428755,3.423110226166918,-0.2073677628074755,2007-01-28,4.0,0,True,False
2007-01-26,2007Q1,4,diag3,student_t,3.1254812192418324,3.077632502427198,-0.023899725579556524,0.8423852967175914,1.2087836914185912,1.2015362468522506,1.9166975278232412,2007-04-28,4.0,0,True,False
2007-01-26,2007Q2,-9,diag3,student_t,3.0917695779813625,3.04493723427629,-0.04012651309451309,0.8591425851240159,2.4695947150627617,2.439593165871891,0.6221748629186008,2007-07-28,4.0,0,True,False
2007-02-02,2007Q1,5,diag3,student_t,3.123574234831694,3.075783296954721,-0.026644593622875325,0.838951630423962,1.2087836914185912,1.2015362468522506,1.914790543413103,2007-04-28,10.0,2,True,True
2007-02-02,2007Q2,-8,diag3,student_t,3.093032320588285,3.0461620991502474,-0.04142908247081267,0.8548863823567219,2.4695947150627617,2.439593165871891,0.6234376055255231,2007-07-28,10.0,0,True,False
2007-02-09,2007Q1,6,diag3,student_t,3.139022116420165,3.0907621461407655,-0.019168372363768945,0.8390073846672721,1.2087836914185912,1.2015362468522506,1.9302384250015736,2007-04-28,8.0,0,True,False
2007-02-09,2007Q2,-7,diag3,student_t,3.1222793166699514,3.0745275934925917,-0.027271338495068333,0.8548060776313505,2.4695947150627617,2.439593165871891,0.6526846016071897,2007-07-28,8.0,0,True,False
